formula,state,H,S,G
Ti,(s beta),5.995672,36.363144,4.292784
Ti,(s alpha),0,30.66872,0
Ti2O3,(s),-1520.884,78.78472,-1434.2752
Ti3O5,(s alpha),-2459.3552,129.2856,-2317.5176
Ti4O7,(s),-3404.5208,198.74,-3213.312
TiB,(s),-160.2472,34.7272,-159.8288
TiB2,(s),-280.328,28.4512,-271.96
TiBr2,(s),-405.848,108.3656,-383.2544
TiBr3,(s),-550.196,176.43928,-525.5104
TiBr4,(s),-617.9768,243.63432,-590.7808
TiBr4,(g),-550.196,398.9444,-569.024
TiBr4,(l),-605.4248,284.17728,-589.944
TiC,(s),-184.096,24.22536,-180.3304
TiCl2,(s),-513.7952,87.4456,-464.424
TiCl3,(s),-720.9032,139.7456,-653.5408
TiCl4,(g),-763.1616,354.8032,-726.7608
TiCl4,(l),-804.1648,252.33704,-737.2208
TiCl4,(s),-815.0432,208.7816,-735.1288
TiF2,(g),-686.176,255.224,-694.544
TiF3,(s),-1435.112,87.864,-1362.3104
TiF4,(g),-1551.4272,314.6368,-1515.4448
TiF4,(s),-1649.3328,133.97168,-1559.3768
TiH2,(s),-144.348,29.7064,-105.0184
TiI2,(s),-267.776,121.336,-259.408
TiI3,(s),-322.168,192.464,-317.984
TiI4,(l),-348.318,311.83352,-362.92016
TiI4,(s),-375.7232,246.0192,-370.7024
TiN,(s),-338.0672,30.25032,-309.616
TiO,(s alpha),-542.6648,34.76904,-513.3768
TiO2,(s rutile),-944.7472,50.33352,-889.5184
TiO2,(s anatase),-938.72224,49.91512,-883.32608
TiOCl2,(g),-545.5936,320.9128,-535.1336
TiOF2,(g),-924.664,284.59568,-907.928
U,(s),0,50.33352,0
U2N3,(s),-891.192,121.336,-811.696
UBr3,(s),-711.6984,205.016,-689.1048
UBr4,(s),-822.5744,234.304,-788.684
UCl3,(s),-891.192,158.95016,-823.8296
UCl4,(s),-1051.0208,198.3216,-962.32
UCl5,(s),-1096.6264,242.672,-993.2816
UCl6,(s),-1139.7216,285.7672,-1010.436
UF3,(s),-1493.688,117.152,-1418.376
UF4,(s),-1853.512,151.0424,-1761.464
UF5,(s),-2041.792,197.9032,-1928.824
UF6,(s),-2112.92,227.6096,-2029.24
UH3,(s),-127.1936,63.88968,-72.5924
UI3,(s),-479.9048,234.304,-482.4152
UI4,(s),-531.368,280.328,-527.6024
UICl3,(s),-920.0616,225.936,-855.2096
UN,(s),-334.72,62.3416,-313.8
UO2,(s),-1129.68,77.8224,-1075.288
UO2(NO3)2,(s),-1377.3728,276.144,-1142.6504
UO2(NO3)2.2H2O,(s),-2008.32,355.64,-1659.3744
UO2(NO3)2.3H2O,(s),-2310.4048,393.296,-1902.4648
UO2(NO3)2.6H2O,(s),-3197.8312,505.6364,-2615
UO2(NO3)2.H2O,(s),-1693.6832,317.984,-1402.8952
UO2SO4.3H2O,(s),-2789.8912,263.592,-2451.824
UO3,(s),-1263.568,98.61688,-1184.072
W,(l),46.94448,45.68928,40.41744
W,(s),0,32.67704,0
W,(g),851.0256,173.8452,808.7672
W3O8,(g),-1711.256,493.712,-1581.552
WBr5,(s),-311.708,271.96,-269.4496
WBr6,(s),-343.088,313.8,-288.696
WCl2,(s),-257.316,130.5408,-220.0784
WCl4,(s),-443.504,198.3216,-359.824
WCl5,(s),-514.632,217.568,-401.664
WCl6,(s),-594.128,238.488,-456.056
WF6,(l),-1748.4936,249.3664,-1631.76
WF6,(g),-961.0648,347.6904,-835.9632
WO2,(s),-589.69296,50.54272,-533.8784
WO2Cl2,(s),-780.316,200.832,-702.912
WO3,(s),-842.90864,75.89776,-764.12392
WOCl4,(s),-671.1136,172.7992,-549.3592
WOCl4,(g),-573.208,376.9784,-510.448
WOF4,(g),-1334.696,334.72,-1276.12
Xe,(g),0,169.573336,0
Zn,(g),130.72908,160.8748,95.177632
Zn,(s),0,41.6308,0
Zn(ClO4)2.6H2O,(s),-2133.37976,545.5936,-1555.6112
Zn(NO3)2.6H2O,(s),-2306.6392,456.8928,-1773.13736
Zn(OH)2,(s beta),-641.90928,81.1696,-553.16664
Zn(OH)2,(s epsilon),-639.06416,81.588,-555.13312
Zn2SiO4,(s),-2300,131.3776,-1523.22704
ZnBr2,(s),-328.6532,138.4904,-312.1264
ZnBr2,(s),-405.848,117.152,-380.744
ZnBr2.2H2O,(s),-937.216,198.74,-799.5624
ZnC2O4.2H2O,(s),-1564.816,195.3928,-1345.9928
ZnCl2,(s),-415.0528,108.3656,-369.430464
ZnCO3,(s),-394.38384,82.4248,-731.5724
ZnF2,(s),-764.4168,73.68024,-713.372
ZnI2,(s),-208.02848,161.084,-208.94896
ZnO,(s),-348.27616,43.63912,-318.31872
ZnS,(s sphalerite),-205.97832,57.7392,-201.29224
ZnSe,(s),163.176,83.68,163.176
ZnSeO3.H2O,(s),-930.94,163.176,-792.868
ZnSO4,(s),-982.8216,128.0304,-874.456
ZnSO4.6H2O,(s),-2777.46472,363.5896,-2324.79776
ZnSO4.7H2O,(s),-3077.7504,388.6936,-2563.07656
ZnSO4.H2O,(s),-1304.48752,138.4904,-1132.02304
